source,target,path
18881,19042,"['18881', '18880', '18879', '18878', '18877', '18874', '18873', '18872', '18870', '18869', '18868', '18863', '18862', '18861', '18860', '18857', '18856', '9206548', '5306695', '5306694', '5306691', '3407190', '7206945', '7206944', '7206943', '7206877', '19040', '18906', '19042']"
18881,18906,"['18881', '18880', '18879', '18878', '18877', '18874', '18873', '18872', '18870', '18869', '18868', '18863', '18862', '18861', '18860', '18857', '18856', '9206548', '5306695', '5306694', '5306691', '3407190', '7206945', '7206944', '7206943', '7206877', '19040', '18906']"
18881,19040,"['18881', '18880', '18879', '18878', '18877', '18874', '18873', '18872', '18870', '18869', '18868', '18863', '18862', '18861', '18860', '18857', '18856', '9206548', '5306695', '5306694', '5306691', '3407190', '7206945', '7206944', '7206943', '7206877', '19040']"
18881,7206877,"['18881', '18880', '18879', '18878', '18877', '18874', '18873', '18872', '18870', '18869', '18868', '18863', '18862', '18861', '18860', '18857', '18856', '9206548', '5306695', '5306694', '5306691', '3407190', '7206945', '7206944', '7206943', '7206877']"
18881,7206943,"['18881', '18880', '18879', '18878', '18877', '18874', '18873', '18872', '18870', '18869', '18868', '18863', '18862', '18861', '18860', '18857', '18856', '9206548', '5306695', '5306694', '5306691', '3407190', '7206945', '7206944', '7206943']"
18881,7206944,"['18881', '18880', '18879', '18878', '18877', '18874', '18873', '18872', '18870', '18869', '18868', '18863', '18862', '18861', '18860', '18857', '18856', '9206548', '5306695', '5306694', '5306691', '3407190', '7206945', '7206944']"
18881,7206945,"['18881', '18880', '18879', '18878', '18877', '18874', '18873', '18872', '18870', '18869', '18868', '18863', '18862', '18861', '18860', '18857', '18856', '9206548', '5306695', '5306694', '5306691', '3407190', '7206945']"
18881,3407190,"['18881', '18880', '18879', '18878', '18877', '18874', '18873', '18872', '18870', '18869', '18868', '18863', '18862', '18861', '18860', '18857', '18856', '9206548', '5306695', '5306694', '5306691', '3407190']"
18881,5306691,"['18881', '18880', '18879', '18878', '18877', '18874', '18873', '18872', '18870', '18869', '18868', '18863', '18862', '18861', '18860', '18857', '18856', '9206548', '5306695', '5306694', '5306691']"
18881,5306694,"['18881', '18880', '18879', '18878', '18877', '18874', '18873', '18872', '18870', '18869', '18868', '18863', '18862', '18861', '18860', '18857', '18856', '9206548', '5306695', '5306694']"
18881,5306695,"['18881', '18880', '18879', '18878', '18877', '18874', '18873', '18872', '18870', '18869', '18868', '18863', '18862', '18861', '18860', '18857', '18856', '9206548', '5306695']"
18881,9206548,"['18881', '18880', '18879', '18878', '18877', '18874', '18873', '18872', '18870', '18869', '18868', '18863', '18862', '18861', '18860', '18857', '18856', '9206548']"
18881,7405493,"['18881', '18880', '18879', '18878', '18877', '18874', '18873', '18872', '18870', '18869', '18868', '18863', '18862', '18861', '18860', '9206443', '2705944', '3305180', '3305845', '18927', '9505541', '7405493']"
18881,7405516,"['18881', '18880', '18879', '18878', '18877', '18874', '18873', '18872', '18870', '18869', '18868', '18863', '18862', '18861', '18860', '9206443', '2705944', '3305180', '3305845', '18927', '9505541', '7405493', '7405516']"
18881,7405517,"['18881', '18880', '18879', '18878', '18877', '18874', '18873', '18872', '18870', '18869', '18868', '18863', '18862', '18861', '18860', '9206443', '2705944', '3305180', '3305845', '18927', '9505541', '7405493', '7405516', '7405517']"
18881,7405518,"['18881', '18880', '18879', '18878', '18877', '18874', '18873', '18872', '18870', '18869', '18868', '18863', '18862', '18861', '18860', '9206443', '2705944', '3305180', '3305845', '18927', '9505541', '7405493', '7405516', '7405517', '7405518']"
18881,7805208,"['18881', '18880', '18879', '18878', '18877', '18874', '18873', '18872', '18870', '18869', '18868', '18863', '18862', '18861', '18860', '9206443', '2705944', '3305180', '3305845', '18927', '9505541', '7405493', '7405516', '7405517', '7405518', '7805208']"
18881,7805213,"['18881', '18880', '18879', '18878', '18877', '18874', '18873', '18872', '18870', '18869', '18868', '18863', '18862', '18861', '18860', '9206443', '2705944', '3305180', '3305845', '18927', '9505541', '7405493', '7405516', '7405517', '7405518', '7805208', '7805213']"
18881,7805219,"['18881', '18880', '18879', '18878', '18877', '18874', '18873', '18872', '18870', '18869', '18868', '18863', '18862', '18861', '18860', '9206443', '2705944', '3305180', '3305845', '18927', '9505541', '7405493', '7405516', '7405517', '7405518', '7805208', '7805213', '7805219']"
18881,7805216,"['18881', '18880', '18879', '18878', '18877', '18874', '18873', '18872', '18870', '18869', '18868', '18863', '18862', '18861', '18860', '9206443', '2705944', '3305180', '3305845', '18927', '9505541', '7405493', '7405516', '7405517', '7405518', '7805208', '7805213', '7805219', '7805216']"
